DATE,TRANSFER_ORDER,TO_LINE,TO_TIME,DELIVERY_NO,TIME_PICK_COMPLETED,INVOICE_NUMBER,SKU,QTY,CUSTOMER,ADDRESS,STORAGE_BIN,,,,,,,,,,,
2-Jul,439938,12,9:09 AM,6414149050,9:25 AM,11356,AE8332TVRJS6_WE_G19,1,20004055,HCM,F12-04-04,,,,,,,,,,,
2-Jul,439938,13,9:09 AM,6414149050,9:25 AM,11356,AE8332RJS5_WE_G19,6,20004055,HCM,F12-04-05,,,,,,,,,,,
2-Jul,439938,14,9:09 AM,6414149050,9:25 AM,11356,AE8332L1LED_WG_G19,10,20004055,HCM,F13-09-01,,,,,,,,,,,
2-Jul,439939,1,9:12 AM,6414149056,9:25 AM,11361,AEZ9D34640,20,20004055,HCM,A05-01-02,,,,,,,,,,,
2-Jul,439939,2,9:12 AM,6414149056,9:25 AM,11361,AEZ9F34263,60,20004055,HCM,C11-02-03,,,,,,,,,,,
2-Jul,439939,3,9:12 AM,6414149056,9:25 AM,11361,AEZ9F34240,60,20004055,HCM,J05-02-03,,,,,,,,,,,
2-Jul,439940,4,9:12 AM,6414149056,9:25 AM,11361,AEZ9D34620,60,20004055,HCM,B04-06-02,,,,,,,,,,,
2-Jul,439940,5,9:12 AM,6414149056,9:25 AM,11361,AEZ9R36225,24,20004055,HCM,C06-05-02,,,,,,,,,,,
2-Jul,439940,6,9:12 AM,6414149056,9:25 AM,11361,AEZ9R36240,60,20004055,HCM,D08-05-01,,,,,,,,,,,
2-Jul,439940,7,9:12 AM,6414149056,9:25 AM,11361,AEZ9F34250,30,20004055,HCM,D10-05-01,,,,,,,,,,,
2-Jul,439940,8,9:12 AM,6414149056,9:25 AM,11361,AEZ9F34220,60,20004055,HCM,D13-05-02,,,,,,,,,,,
2-Jul,439941,1,9:13 AM,6414149058,9:25 AM,11318,AEZ9F34263,47,20004056,HCM,C07-02-02,,,,,,,,,,,
2-Jul,439941,2,9:13 AM,6414149058,9:25 AM,11318,AEZ9F34263,13,20004056,HCM,C11-02-03,,,,,,,,,,,
2-Jul,439943,1,8:49 AM,6414149002,9:24 AM,11350,ALRD12,10,20004044,DA NANG,A08-04-01,,,,,,,,,,,
2-Jul,439943,2,8:49 AM,6414149002,9:24 AM,11350,ALRD21,10,20004044,DA NANG,B05-04-05,,,,,,,,,,,
2-Jul,439943,3,8:49 AM,6414149002,9:24 AM,11350,ALRD14,10,20004044,DA NANG,B09-04-04,,,,,,,,,,,
2-Jul,439943,4,8:49 AM,6414149002,9:24 AM,11350,ALRD16,10,20004044,DA NANG,C10-04-04,,,,,,,,,,,
2-Jul,439943,5,8:49 AM,6414149002,9:24 AM,11350,ALRD32,5,20004044,DA NANG,D04-04-02,,,,,,,,,,,
2-Jul,439943,6,8:49 AM,6414149002,9:24 AM,11350,ALRD22,5,20004044,DA NANG,D06-04-05,,,,,,,,,,,
2-Jul,439944,7,8:49 AM,6414149002,9:24 AM,11350,AMIP22108,3,20004044,DA NANG,A11-07-02,,,,,,,,,,,
2-Jul,439944,8,8:49 AM,6414149002,9:24 AM,11350,ALC1D12M7,15,20004044,DA NANG,B12-07-02,,,,,,,,,,,
2-Jul,439944,9,8:49 AM,6414149002,9:24 AM,11350,ALC1D18M7,5,20004044,DA NANG,C12-07-02,,,,,,,,,,,
2-Jul,439944,10,8:49 AM,6414149002,9:24 AM,11350,ALC1D09M7,15,20004044,DA NANG,D07-07-02,,,,,,,,,,,
2-Jul,439944,11,8:49 AM,6414149002,9:24 AM,11350,ALC1D32M7,5,20004044,DA NANG,D09-07-01,,,,,,,,,,,
2-Jul,439944,12,8:49 AM,6414149002,9:24 AM,11350,ALC1D25M7,5,20004044,DA NANG,D10-06-01,,,,,,,,,,,
2-Jul,439945,1,8:57 AM,6414149027,9:17 AM,11312,ARM6-C1-NE-IQI-01,2,20004116,BAC NINH,F08-09-02,,,,,,,,,,,
2-Jul,439946,1,8:57 AM,6414149028,9:25 AM,11366,AA9F84363,1,20005124,NHA TRANG,C10-01-06,,,,,,,,,,,
2-Jul,439946,2,8:57 AM,6414149028,9:25 AM,11366,A8431STV_WE_G19,10,20005124,NHA TRANG,G10-02-01,,,,,,,,,,,
2-Jul,439947,3,8:57 AM,6414149028,9:25 AM,11366,AEZ9F34332,8,20005124,NHA TRANG,C13-05-01,,,,,,,,,,,
2-Jul,439948,4,8:57 AM,6414149028,9:25 AM,11366,AMUR36034,15,20005124,NHA TRANG,E08-01-03,,,,,,,,,,,
2-Jul,439948,5,8:57 AM,6414149028,9:25 AM,11366,AA8401SB_WE_G19,40,20005124,NHA TRANG,F13-06-02,,,,,,,,,,,
2-Jul,439949,1,9:08 AM,6414149047,9:25 AM,11353,ARXZE2M114,50,20004055,HCM,D04-03-03,,,,,,,,,,,
2-Jul,439950,2,9:08 AM,6414149047,9:25 AM,11353,AABL2REM24100K,2,20004055,HCM,E02-01-02,,,,,,,,,,,
2-Jul,439950,3,9:08 AM,6414149047,9:25 AM,11353,AABL2REM24065K,3,20004055,HCM,E03-01-01,,,,,,,,,,,
2-Jul,439950,4,9:08 AM,6414149047,9:25 AM,11353,AABL2REM24065K,2,20004055,HCM,E03-01-01,,,,,,,,,,,
2-Jul,439950,5,9:08 AM,6414149047,9:25 AM,11353,AABL2REM24085K,2,20004055,HCM,E04-02-05,,,,,,,,,,,
2-Jul,439950,6,9:08 AM,6414149047,9:25 AM,11353,AABL2REM24045K,3,20004055,HCM,E06-04-03,,,,,,,,,,,
2-Jul,439950,7,9:08 AM,6414149047,9:25 AM,11353,AABL2REM24045K,2,20004055,HCM,E06-04-03,,,,,,,,,,,
2-Jul,439950,8,9:08 AM,6414149047,9:25 AM,11353,AABL2REM24020K,3,20004055,HCM,E08-02-06,,,,,,,,,,,
2-Jul,439950,9,9:08 AM,6414149047,9:25 AM,11353,AABL2REM24020K,2,20004055,HCM,E08-02-06,,,,,,,,,,,
2-Jul,439950,10,9:08 AM,6414149047,9:25 AM,11353,AABL2K02,10,20004055,HCM,F03-04-02,,,,,,,,,,,
2-Jul,439950,11,9:08 AM,6414149047,9:25 AM,11353,AABL2REM24015K,3,20004055,HCM,F10-02-06,,,,,,,,,,,
2-Jul,439950,12,9:08 AM,6414149047,9:25 AM,11353,AABL2REM24015K,2,20004055,HCM,F10-02-06,,,,,,,,,,,
2-Jul,439952,1,9:08 AM,6414149048,9:25 AM,11354,AXB7NS8442,30,20004055,HCM,A01-03-05,,,,,,,,,,,
2-Jul,439952,2,9:08 AM,6414149048,9:25 AM,11354,AXB7EV03MP,100,20004055,HCM,A01-04-03,,,,,,,,,,,
2-Jul,439952,3,9:08 AM,6414149048,9:25 AM,11354,AXB7EV03MP,100,20004055,HCM,A01-04-03,,,,,,,,,,,
